thetaL, thetaR, a, b
5.397263, 1.784391, 18.000000, 19.000000
5.397263, 1.784391, 18.000000, 19.000000
5.397263, 1.784391, 18.000000, 19.000000
5.397263, 1.784391, 18.000000, 19.000000
5.413250, 1.879605, 20.000000, 21.000000
5.413250, 1.879605, 20.000000, 21.000000
5.413250, 1.879605, 20.000000, 21.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.516580, 2.278581, 18.000000, 19.000000
5.580654, 2.649742, 18.000000, 20.000000
5.580654, 2.649742, 18.000000, 20.000000
5.580654, 2.649742, 18.000000, 20.000000
5.580654, 2.649742, 18.000000, 20.000000
5.580654, 2.649742, 18.000000, 20.000000
5.760628, 3.616846, 16.000000, 17.000000
6.069927, 3.743002, 16.000000, 18.000000
6.069927, 3.743002, 16.000000, 18.000000
6.069927, 3.743002, 16.000000, 18.000000
6.008851, 2.794802, 16.000000, 17.000000
6.008851, 2.794802, 16.000000, 17.000000
5.810437, 3.181560, 13.000000, 17.000000
5.810437, 3.181560, 13.000000, 17.000000
5.830040, 3.309048, 15.000000, 17.000000
5.830040, 3.309048, 15.000000, 17.000000
5.830040, 3.309048, 15.000000, 17.000000
5.830040, 3.309048, 15.000000, 17.000000
5.830040, 3.309048, 15.000000, 17.000000
5.830040, 3.309048, 15.000000, 17.000000
5.640842, 2.897646, 16.000000, 19.000000
5.640842, 2.897646, 16.000000, 19.000000
5.855251, 2.728650, 17.000000, 19.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.871072, 2.730032, 16.000000, 18.000000
5.710292, 2.606037, 17.000000, 18.000000
5.710292, 2.606037, 17.000000, 18.000000
5.710292, 2.606037, 17.000000, 18.000000
5.710292, 2.606037, 17.000000, 18.000000
5.710292, 2.606037, 17.000000, 18.000000
5.710292, 2.606037, 17.000000, 18.000000
5.745774, 2.448546, 17.000000, 19.000000
5.745774, 2.448546, 17.000000, 19.000000
5.745774, 2.448546, 17.000000, 19.000000
5.637556, 2.438174, 15.000000, 18.000000
5.637556, 2.438174, 15.000000, 18.000000
5.846671, 2.609028, 15.000000, 16.000000
5.846671, 2.609028, 15.000000, 16.000000
5.846671, 2.609028, 15.000000, 16.000000
5.846671, 2.609028, 15.000000, 16.000000
6.170760, 2.664864, 17.000000, 20.000000
6.170760, 2.664864, 17.000000, 20.000000
5.701061, 2.768387, 17.000000, 19.000000
5.543690, 2.705831, 16.000000, 20.000000
5.543690, 2.705831, 16.000000, 20.000000
5.543690, 2.705831, 16.000000, 20.000000
5.543690, 2.705831, 16.000000, 20.000000
5.392030, 3.054558, 16.000000, 20.000000
4.988180, 2.689276, 14.000000, 18.000000
5.320097, 2.914053, 15.000000, 18.000000
5.320097, 2.914053, 15.000000, 18.000000
5.238037, 3.044909, 15.000000, 18.000000
5.238037, 3.044909, 15.000000, 18.000000
5.238037, 3.044909, 15.000000, 18.000000
5.127062, 3.095190, 15.000000, 18.000000
5.127062, 3.095190, 15.000000, 18.000000
5.127062, 3.095190, 15.000000, 18.000000
5.096294, 2.995251, 17.000000, 19.000000
5.096294, 2.995251, 17.000000, 19.000000
5.096294, 2.995251, 17.000000, 19.000000
5.096294, 2.995251, 17.000000, 19.000000
5.096294, 2.995251, 17.000000, 19.000000
4.638008, 2.552148, 17.000000, 18.000000
4.683872, 2.589109, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
4.954777, 3.101573, 17.000000, 18.000000
5.120397, 3.395062, 16.000000, 17.000000
5.120397, 3.395062, 16.000000, 17.000000
5.120397, 3.395062, 16.000000, 17.000000
4.826144, 3.610079, 15.000000, 16.000000
4.826144, 3.610079, 15.000000, 16.000000
4.826144, 3.610079, 15.000000, 16.000000
4.826144, 3.610079, 15.000000, 16.000000
4.826144, 3.610079, 15.000000, 16.000000
4.826144, 3.610079, 15.000000, 16.000000
4.826144, 3.610079, 15.000000, 16.000000
4.826144, 3.610079, 15.000000, 16.000000
4.826144, 3.610079, 15.000000, 16.000000
4.826144, 3.610079, 15.000000, 16.000000
4.733815, 3.311606, 15.000000, 16.000000
4.733815, 3.311606, 15.000000, 16.000000
4.733815, 3.311606, 15.000000, 16.000000
4.733815, 3.311606, 15.000000, 16.000000
4.733815, 3.311606, 15.000000, 16.000000
4.733815, 3.311606, 15.000000, 16.000000
4.733815, 3.311606, 15.000000, 16.000000
4.733815, 3.311606, 15.000000, 16.000000
4.733815, 3.311606, 15.000000, 16.000000
4.733815, 3.311606, 15.000000, 16.000000
4.917599, 3.298694, 16.000000, 17.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.156582, 3.284557, 17.000000, 18.000000
5.389346, 3.070033, 15.000000, 16.000000
5.389346, 3.070033, 15.000000, 16.000000
5.860666, 3.277467, 11.000000, 14.000000
5.860666, 3.277467, 11.000000, 14.000000
5.860666, 3.277467, 11.000000, 14.000000
5.860666, 3.277467, 11.000000, 14.000000
5.860666, 3.277467, 11.000000, 14.000000
6.248848, 2.673327, 13.000000, 15.000000
6.248848, 2.673327, 13.000000, 15.000000
6.401989, 2.848962, 11.000000, 15.000000
6.401989, 2.848962, 11.000000, 15.000000
6.141270, 3.298541, 12.000000, 14.000000
6.446949, 2.897106, 16.000000, 17.000000
6.837651, 2.497245, 15.000000, 19.000000
6.837651, 2.497245, 15.000000, 19.000000
6.837651, 2.497245, 15.000000, 19.000000
6.700350, 2.575496, 18.000000, 19.000000
6.700350, 2.575496, 18.000000, 19.000000
6.700350, 2.575496, 18.000000, 19.000000
6.700350, 2.575496, 18.000000, 19.000000
6.700350, 2.575496, 18.000000, 19.000000
6.700350, 2.575496, 18.000000, 19.000000
6.700350, 2.575496, 18.000000, 19.000000
6.700350, 2.575496, 18.000000, 19.000000
6.700350, 2.575496, 18.000000, 19.000000
6.753042, 2.871974, 16.000000, 18.000000
6.753042, 2.871974, 16.000000, 18.000000
6.753042, 2.871974, 16.000000, 18.000000
6.704916, 2.885815, 19.000000, 20.000000
6.704916, 2.885815, 19.000000, 20.000000
6.808236, 2.940851, 18.000000, 19.000000
6.808236, 2.940851, 18.000000, 19.000000
6.808236, 2.940851, 18.000000, 19.000000
6.808236, 2.940851, 18.000000, 19.000000
6.808236, 2.940851, 18.000000, 19.000000
6.808236, 2.940851, 18.000000, 19.000000
6.808236, 2.940851, 18.000000, 19.000000
6.863815, 2.855382, 17.000000, 19.000000
6.863815, 2.855382, 17.000000, 19.000000
6.863815, 2.855382, 17.000000, 19.000000
6.863815, 2.855382, 17.000000, 19.000000
7.287544, 2.747371, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
7.295333, 2.554862, 18.000000, 19.000000
